"sp_id","year","TotalTourists","area_km2","Tourists_per_km2"
248100,2008,607789,10003.2184936,60.7593446438124
248100,2009,542611,10003.2184936,54.2436417186288
248100,2010,596092,10003.2184936,59.590020989882
248100,2011,526338,10003.2184936,52.6168652955794
248100,2012,405018,10003.2184936,40.4887687157017
248100,2013,500764,10003.2184936,50.0602881283045
248200,2008,2944,165.510181525,17.7874253588159
248200,2009,6405,165.510181525,38.6985256192988
248200,2010,4732,165.510181525,28.5903861405967
248200,2011,6101,165.510181525,36.861780609421
248200,2012,4314,165.510181525,26.0648617520148
248200,2013,115,165.510181525,0.694821303078744
248500,2008,2426,9740.31647734,0.249067882511197
248500,2009,3774,9740.31647734,0.387461743032671
248500,2010,2885,9740.31647734,0.296191608015171
248500,2011,2239,9740.31647734,0.229869327676245
248500,2012,4873,9740.31647734,0.500291752463753
248500,2013,807,9740.31647734,0.082851517389339
248600,2009,303,6346.41610631,0.0477434815058437
248600,2010,312,6346.41610631,0.0491616047188886
248600,2011,339,6346.41610631,0.0534159743580231
248600,2012,279,6346.41610631,0.0439618196043907
248600,2013,432,6346.41610631,0.0680699142261534
258410,2008,2484,7937.65663524,0.312938706490785
258410,2009,4702,7937.65663524,0.592366263252685
258410,2010,441,7937.65663524,0.0555579587610451
258410,2011,465,7937.65663524,0.0585815211425986
258410,2012,1149,7937.65663524,0.144753049016873
258410,2013,103,7937.65663524,0.0129761218875003
258420,2008,768,5561.65492845,0.138088394530086
258420,2009,222,5561.65492845,0.0399161765438529
258420,2011,224,5561.65492845,0.0402757817379417
258420,2012,684,5561.65492845,0.122984976378358
288100,2008,2298,6340.18413736,0.362450040915826
288100,2009,6548,6340.18413736,1.03277757524666
288100,2010,3384,6340.18413736,0.533738441453069
288100,2011,3070,6340.18413736,0.48421306597545
288100,2012,2202,6340.18413736,0.347308524846235
288100,2013,2475,6340.18413736,0.390367211169133
288200,2009,360,9089.30622026,0.0396069833358197
288200,2011,111,9089.30622026,0.0122121531952111
288300,2010,154,8341.24576409,0.0184624700381072
288300,2011,228,8341.24576409,0.0273340465499249
288300,2012,138,8341.24576409,0.0165442913328493
288300,2013,374,8341.24576409,0.0448374272354031
