Country,Sp.,Native,Fish meal,Intensity,Hatchery,Habitat,Waste water,Ecological,MSI,Genetic escapees,Maric_sustainability
Argentina,Blue mussel,10,10,7,5,7,10,8.2,7.1,1.00,0.83
Argentina,Pacific cupped oyster,3,10,5,7,7,10,7,6.4,0.30,0.90
Argentina,River Plata mussel,7,10,7,5,7,10,7.7,7,0.70,0.83
Australia,Atlantic salmon,1,1,1,3,5,3,2.3,3.7,0.10,0.23
Australia,Barramundi,5,3,1,5,5,1,3.3,4,0.50,0.30
Australia,Cupped oysters nei,5,10,7,7,9,10,8,7.1,0.50,0.90
Australia,Flat oysters nei,5,10,7,7,7,9,7.5,7.4,0.50,0.87
Australia,Giant tiger prawn,10,1,1,5,5,1,3.8,4.9,1.00,0.23
Australia,Giant tiger prawn (br),10,1,1,5,5,1,3.8,4.9,1.00,0.23
Australia,Kuruma prawn,10,1,5,4,5,5,5,5,1.00,0.33
Australia,Pacific cupped oyster,1,10,10,10,7,10,8,7.2,0.10,1.00
Australia,Pacific cupped oyster (br),1,10,8,10,7,10,7.7,7,0.10,1.00
Australia,Southern bluefin tuna,10,1,1,1,3,1,2.8,4.1,1.00,0.10
Bangladesh,Penaeus shrimps nei,5,3,1,3,1,1,2.3,3.5,0.50,0.23
Belize,Whiteleg shrimp,1,3,3,5,1,3,2.7,3.7,0.10,0.37
Brazil,Cupped oysters nei,7,10,7,7,7,10,8,7.1,0.70,0.90
Brazil,Groupers nei,9,1,5,5,5,4,4.8,5.2,0.90,0.33
Brazil,Whiteleg shrimp,1,3,3,5,1,1,2.3,4,0.10,0.30
Cambodia,Penaeus shrimps nei,5,3,1,3,1,1,2.3,3.5,0.50,0.23
Canada,Atlantic bluefin tuna,10,10,5,1,3,1,5,5,1.00,0.40
Canada,Atlantic cod,10,1,3,3,3,3,3.8,4.7,1.00,0.23
Canada,Atlantic salmon (Atl),10,1,1,3,5,1,3.5,4.1,1.00,0.17
Canada,Atlantic salmon (Pac),1,3,2,3,3,2,2.3,3.4,0.10,0.27
Canada,Blue mussel,10,10,9,8,8,10,9.2,8.2,1.00,0.93
Canada,Coho(=Silver)salmon,10,2,1,5,3,3,4,4.1,1.00,0.33
Canada,Pacific cupped oyster,1,10,1,5,7,10,5.7,6.1,0.10,0.83
Chile,Abalones nei,1,10,1,7,3,3,4.2,3.9,0.10,0.67
Chile,Atlantic salmon,1,1,1,1,1,2,1.2,2.5,0.10,0.13
Chile,Coho(=Silver)salmon,1,1,1,5,1,2,1.8,2.8,0.10,0.27
Chile,Gracilaria seaweeds,10,10,10,7,10,10,9.5,8.4,1.00,0.90
Chile,Pacific cupped oyster,1,10,7,5,7,1,5.2,5.6,0.10,0.53
China,Blood cockle,10,10,7,3,5,7,7,7,1.00,0.67
China,Groupers nei,9,1,5,5,5,4,4.8,5.3,0.90,0.33
China,Laver (Nori),10,10,7,5,7,5,7.3,6.8,1.00,0.67
China,Pacific cupped oyster,1,10,7,5,5,1,4.8,5.4,0.10,0.53
China,Red drum,1,1,2,5,4,5,3,4.4,0.10,0.37
China,Whiteleg shrimp,1,3,1,5,3,3,2.7,3.9,0.10,0.37
Colombia,Cupped oysters nei,5,10,7,7,7,10,7.7,6.9,0.50,0.90
Colombia,Whiteleg shrimp (Atl),10,3,3,5,3,3,4.5,4.7,1.00,0.37
Colombia,Whiteleg shrimp (Pac),10,3,3,5,3,3,4.5,4.7,1.00,0.37
Costa Rica,Whiteleg shrimp (Pac) (br),10,3,1,5,3,5,4.5,5,1.00,0.43
Denmark,Atlantic salmon,10,3,1,5,5,7,5.2,5.5,1.00,0.50
Denmark,Blue mussel,10,10,9,8,7,10,9,8.1,1.00,0.93
Denmark,European eel,10,3,3,3,6,7,5.3,5.9,1.00,0.43
Ecuador,Red drum,1,1,3,5,5,5,3.3,4.5,0.10,0.37
Ecuador,Whiteleg shrimp,10,3,5,5,1,3,4.5,4.7,1.00,0.37
Egypt,European seabass,10,3,5,5,5,5,5.5,5.8,1.00,0.43
Egypt,European seabass (br),10,3,5,5,5,5,5.5,5.8,1.00,0.43
Egypt,Flathead grey mullet,10,3,5,5,5,5,5.5,5.8,1.00,0.43
Egypt,Flathead grey mullet (Med),10,3,5,5,5,5,5.5,5.8,1.00,0.43
Egypt,Gilthead seabream,1,1,1,5,3,1,2,3.5,0.10,0.23
Egypt,Gilthead seabream (br),1,1,1,5,3,1,2,3.5,0.10,0.23
Egypt,Penaeus shrimps nei,5,1,5,5,3,3,3.7,4,0.50,0.30
Faeroe Ils.,Atlantic salmon,10,3,1,5,3,5,4.5,4.7,1.00,0.43
Finland,Atlantic salmon,10,3,2,5,3,7,5,4.9,1.00,0.50
France,Atlantic salmon,10,3,2,5,5,3,4.7,4.8,1.00,0.37
France,Blue mussel,10,10,9,8,7,10,9,8.1,1.00,0.93
France,Coho(=Silver)salmon,1,3,1,5,5,3,3,3.9,0.10,0.37
France,European eel,10,3,3,3,6,7,5.3,5.9,1.00,0.43
France,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
France,European seabass,10,3,5,7,5,5,5.8,5.7,1.00,0.50
France,European seabass (br),10,3,5,7,5,5,5.8,5.7,1.00,0.50
France,Gilthead seabream,10,1,1,5,3,1,3.5,4.3,1.00,0.23
France,Kuruma prawn,1,3,5,5,5,5,4,4.9,0.10,0.43
France,Pacific cupped oyster ,1,10,10,5,5,1,5.3,6.2,0.10,0.53
France,Pacific cupped oyster (Med),1,10,10,5,5,1,5.3,6.2,0.10,0.53
Germany,Blue mussel,10,10,9,8,7,10,9,8.1,1.00,0.93
Germany,European seabass,10,3,5,7,5,7,6.2,6.2,1.00,0.57
Germany,Pacific cupped oyster,1,10,10,5,7,1,5.7,6.4,0.10,0.53
Greece,European eel (br),10,3,3,3,6,7,5.3,5.9,1.00,0.43
Greece,European eel,10,3,3,3,6,7,5.3,5.9,1.00,0.43
Greece,European flat oyster,10,10,7,5,7,10,8.2,7.3,1.00,0.83
Greece,European seabass (br),10,3,5,5,5,1,4.8,5,1.00,0.30
Greece,European seabass,10,3,5,5,5,1,4.8,5,1.00,0.30
Greece,Flathead grey mullet (br),10,3,5,5,5,3,5.2,5.7,1.00,0.37
Greece,Flathead grey mullet,10,3,5,5,5,3,5.2,5.7,1.00,0.37
Greece,Gilthead seabream (br),10,1,1,3,3,1,3.2,4.1,1.00,0.17
Greece,Gilthead seabream,10,1,1,3,3,1,3.2,4.1,1.00,0.17
Greece,Kuruma prawn,1,3,5,5,5,5,4,4.6,0.10,0.43
