sp_type,sp_id,sp_name,sp_key,area_km2
land,0,Australia,AUS,919170.206127
land,1,Cocos Islands,CCK,17.8375772751
land,2,Christmas Island,CXR,141.52596777
land,3,Norfolk Island,NFK,42.6263892283
land,4,Macquarie Island,AUS,129.726806065
land,5,New Caledonia,NCL,19046.4256816
land,6,Vanuatu,VUT,12504.0718774
land,7,Solomon Islands,SLB,29005.6486166
land,8,Palau,PLW,497.858645895
land,9,Micronesia,FSM,811.861031203
land,10,Nauru,NRU,22.6330226753
land,11,Marshall Islands,MHL,280.131902989
land,12,Wake Island,UMI,8.66503266066
land,13,Northern Mariana Islands and Guam,MNP,1056.26196749
land,14,Taiwan,TWN,33331.6403227
land,15,Philippines,PHL,259992.985952
land,17,Papua New Guinea,PNG,233754.682344
land,18,Fiji,FJI,19050.0982131
land,19,Tuvalu,TUV,41.5261933314
land,20,South Korea,KOR,65431.6863054
land,21,North Korea,PRK,62560.0157254
land,24,Cambodia,KHM,19767.1566806
land,25,Thailand,THA,100015.385776
land,26,Andaman and Nicobar,IND,7751.39556974
land,28,Comoro Islands,COM,1690.69438783
land,29,Mayotte,MYT,393.98275465
land,30,Glorioso Islands,ATF,3.93349699306
land,31,Seychelles,SYC,483.704909045
land,32,Reunion,REU,2523.71074563
land,33,Juan de Nova Island,ATF,6.14612858632
land,34,Bassas da India,ATF,2.10243104729
land,35,Ile Europa,ATF,24.8208127442
land,36,Ile Tromelin,ATF,1.04637262059
land,37,Mauritius,MUS,2051.90558285
land,38,British Indian Ocean Territory,IOT,68.5039210651
land,39,Maldives,MDV,302.660396636
land,40,Sri Lanka,LKA,45615.9171707
land,41,Mozambique,MOZ,132399.256947
land,42,Madagascar,MDG,197723.673373
land,43,Kenya,KEN,27408.247994
land,44,Somalia,SOM,143775.619784
land,45,Eritrea,ERI,45240.3803584
land,46,Djibouti,DJI,14999.5581279
land,47,Yemen,YEM,85383.6151589
land,48,Oman,OMN,81175.820497
land,49,Sudan,SDN,28826.2502997
land,50,Saudi Arabia,SAU,130923.55966
land,51,Kuwait,KWT,12217.4121311
land,52,Bahrain,BHR,684.018699958
land,53,Pakistan,PAK,47594.8075187
land,54,United Arab Emirates,ARE,31996.234179
land,55,Azores,PRT,2395.76078359
land,56,Cape Verde,CPV,4125.39896257
land,57,Madeira,PRT,817.496072949
land,58,Canary Islands,ESP,7506.96857979
land,59,Belgium,BEL,7873.99841616
land,60,Gibraltar,GIB,7.62953067414
land,61,Tunisia,TUN,42881.4472385
land,62,Morocco,MAR,80775.8380812
land,63,Western Sahara,ESH,43893.1245133
land,64,Mauritania,MRT,31177.7294754
land,65,Gambia,GMB,6426.53703266
land,66,Senegal,SEN,33936.9942423
land,67,Libya,LBY,84868.9125315
land,68,Malta,MLT,324.290298879
land,69,Latvia,LVA,23365.9653083
land,70,Estonia,EST,25291.1102752
land,71,Bulgaria,BGR,15132.2578172
land,72,Romania,ROU,12474.979186
land,73,Russia,RUS,1794326.24778
land,74,Georgia,GEO,14841.4414867
land,75,Ukraine,UKR,77285.379504
land,76,Turkey,TUR,177502.897003
land,77,Syria,SYR,9571.70051202
land,78,Lebanon,LBN,9035.44050118
land,79,Israel,ISR,10984.9874457
land,80,Greece,GRC,106193.198947
land,81,Cyprus,CYP,9318.01550902
land,82,Albania,ALB,16186.6546876
land,84,Algeria,DZA,53124.6765605
land,85,Ascension,ASC,100.856509918
land,86,Saint Helena,SHN,128.709049091
land,87,Trindade,BRA,11.4731569473
land,88,Tristan da Cunha,TAA,203.065588619
land,89,South Georgia and the South Sandwich Islands,SGS,3980.4898276
land,90,Prince Edward Islands,ZAF,341.170055539
land,91,Crozet Islands,ATF,364.61827565
land,92,Amsterdam Island and Saint Paul Island,ATF,72.9300710997
land,93,Kerguelen Islands,ATF,7391.98561084
land,94,Heard and McDonald Islands,HMD,391.927466291
land,95,Falkland Islands,FLK,12420.2541579
land,96,Sierra Leone,SLE,20970.6414848
land,97,Liberia,LBR,26532.6552346
land,98,Togo,TGO,4034.28962715
land,99,Benin,BEN,5870.02178098
land,100,Republique du Congo,COG,8643.7076067
land,101,Namibia,NAM,71188.9585249
land,102,South Africa,ZAF,125999.321747
land,103,Sao Tome and Principe,STP,982.638805438
land,104,Equatorial Guinea,GNQ,10152.6414337
land,105,Bouvet Island,BVT,50.7489590722
land,106,Ghana,GHA,24007.9238948
land,107,Clipperton Island,CPT,8.75687339644
land,108,Bermuda,BMU,72.2697949545
land,109,Galapagos Islands,ECU,8060.44443808
land,110,Bahamas,BHS,13400.7196055
land,111,Turks and Caicos Islands,TCA,1013.21961745
land,112,Cuba,CUB,108955.912616
land,113,Cayman Islands,CYM,287.755626899
land,114,Haiti,HTI,25521.5100377
land,115,Dominican Republic,DOM,38051.953624
land,117,British Virgin Islands,VGB,176.13383119
