"rgn_id","mean_cat","mean_trend","status"
1,0.42,NaN,0.44
2,0.366667,NaN,0.511111
3,0.2,NaN,0.733333
5,0.356667,NaN,0.524444
6,0.395455,NaN,0.472727
7,0.3875,NaN,0.483333
8,0.405556,NaN,0.459259
10,0.34375,NaN,0.541667
11,0.345,NaN,0.54
12,0.25,NaN,0.666667
13,0.431818,NaN,0.424242
14,0.453571,NaN,0.395238
15,0.436667,NaN,0.417778
16,0.316667,NaN,0.577778
17,0.386364,NaN,0.484848
18,0.413636,NaN,0.448485
19,0.355,NaN,0.526667
20,0.41875,NaN,0.441667
21,0.41875,NaN,0.441667
24,0.525,NaN,0.3
25,0.420833,NaN,0.438889
28,0.442857,NaN,0.409524
29,0.42,NaN,0.44
31,0.411111,NaN,0.451852
32,0.385714,NaN,0.485714
37,0.383333,NaN,0.488889
38,0.425,NaN,0.433333
39,0.404545,NaN,0.460606
40,0.432143,NaN,0.42381
41,0.397222,NaN,0.47037
42,0.419444,NaN,0.440741
43,0.403333,NaN,0.462222
44,0.388462,NaN,0.482051
45,0.419231,NaN,0.441026
46,0.355556,NaN,0.525926
47,0.404167,NaN,0.461111
48,0.45,NaN,0.4
49,0.394444,NaN,0.474074
50,0.38125,NaN,0.491667
51,0.433333,NaN,0.422222
52,0.483333,NaN,0.355556
53,0.331818,NaN,0.557576
54,0.42,NaN,0.44
55,0.6,NaN,0.2
56,0.372222,NaN,0.503704
57,0.6,NaN,0.2
58,0.6,NaN,0.2
59,0.408333,NaN,0.455556
60,0.504167,NaN,0.327778
61,0.375926,NaN,0.498765
62,0.42549,NaN,0.43268
63,0.39881,NaN,0.468254
64,0.370238,NaN,0.506349
65,0.278571,NaN,0.628571
66,0.383333,NaN,0.488889
68,0.461111,NaN,0.385185
71,0.4,NaN,0.466667
72,0.4,NaN,0.466667
73,0.443939,NaN,0.408081
74,0.4,NaN,0.466667
75,0.4,NaN,0.466667
76,0.410417,NaN,0.452778
77,0.458333,NaN,0.388889
