"rgn_id","habitat","trend"
5,"mangrove",-1
6,"mangrove",-0.833333333333333
7,"mangrove",-1
8,"mangrove",1
9,"mangrove",0
15,"mangrove",-0.932203389830508
16,"mangrove",-0.0240054869684499
17,"mangrove",-1
18,"mangrove",-1
24,"mangrove",-1
25,"mangrove",-0.714285714285714
32,"mangrove",0
35,"mangrove",0
36,"mangrove",0
30,"mangrove",0
29,"mangrove",0
34,"mangrove",0
33,"mangrove",0
31,"mangrove",0
39,"mangrove",-0.579138710149137
40,"mangrove",-0.416666666666667
41,"mangrove",-0.152795031055901
42,"mangrove",-0.454545454545455
43,"mangrove",-0.429616087751371
44,"mangrove",-1
45,"mangrove",-0.223880597014925
47,"mangrove",-0.5
49,"mangrove",0
50,"mangrove",-0.238095238095238
52,"mangrove",-1
53,"mangrove",-1
54,"mangrove",0.857142857142857
65,"mangrove",-0.880681818181818
66,"mangrove",-1
96,"mangrove",-1
97,"mangrove",-1
100,"mangrove",-1
90,"mangrove",-0.714285714285714
102,"mangrove",-0.714285714285714
104,"mangrove",-0.318352059925094
106,"mangrove",-1
110,"mangrove",-1
112,"mangrove",0.0939709713435058
114,"mangrove",-1
115,"mangrove",-1
116,"mangrove",0.71875
121,"mangrove",-0.150888293988805
108,"mangrove",-0.150888293988805
117,"mangrove",-0.150888293988805
111,"mangrove",-0.150888293988805
113,"mangrove",-0.150888293988805
118,"mangrove",-0.150888293988805
125,"mangrove",-1
126,"mangrove",-0.333333333333333
249,"mangrove",-0.614035087719298
220,"mangrove",-0.614035087719298
244,"mangrove",-0.614035087719298
250,"mangrove",-0.614035087719298
245,"mangrove",-0.614035087719298
248,"mangrove",-0.614035087719298
129,"mangrove",-1
130,"mangrove",-1
131,"mangrove",-1
132,"mangrove",-1
133,"mangrove",-1
134,"mangrove",-1
135,"mangrove",-1
136,"mangrove",-0.295698924731183
137,"mangrove",-1
138,"mangrove",-1
139,"mangrove",-0.701923076923077
221,"mangrove",-0.153061224489796
140,"mangrove",-0.153061224489796
155,"mangrove",-0.666666666666667
156,"mangrove",-0.32258064516129
162,"mangrove",-0.32258064516129
154,"mangrove",-0.32258064516129
153,"mangrove",-0.32258064516129
163,"mangrove",-1
164,"mangrove",-0.159235668789809
166,"mangrove",-1
167,"mangrove",-0.604395604395604
168,"mangrove",-0.0260869565217391
169,"mangrove",0
171,"mangrove",-0.238095238095238
190,"mangrove",0
191,"mangrove",-1
193,"mangrove",-1
194,"mangrove",-0.387700534759358
195,"mangrove",-1
196,"mangrove",-0.01001001001001
197,"mangrove",-0.404411764705882
198,"mangrove",-1
199,"mangrove",-1
200,"mangrove",-1
202,"mangrove",-0.888157894736842
203,"mangrove",-0.579238208012631
26,"mangrove",-0.579238208012631
204,"mangrove",0.560747663551402
205,"mangrove",-0.436543654365437
206,"mangrove",-0.808605341246291
247,"mangrove",-0.808605341246291
207,"mangrove",-1
208,"mangrove",-1
214,"mangrove",0
216,"mangrove",-1
231,"mangrove",-1
237,"mangrove",-1
