"rgn_id","habitat","trend"
5,"mangrove",-0.003555
6,"mangrove",0
7,"mangrove",-0.002942
8,"mangrove",-0.001459
9,"mangrove",-0.004317
14,"mangrove",-0.018072
15,"mangrove",-0.00636
16,"mangrove",-0.001105
17,"mangrove",-0.003458
18,"mangrove",-0.001034
24,"mangrove",-0.036823
25,"mangrove",-0.014541
28,"mangrove",0
29,"mangrove",-0.004146
31,"mangrove",0
39,"mangrove",0
40,"mangrove",-0.007389
41,"mangrove",-0.001522
42,"mangrove",-0.001961
43,"mangrove",-0.000738
44,"mangrove",0
45,"mangrove",0
46,"mangrove",0
47,"mangrove",0
48,"mangrove",0
49,"mangrove",0
50,"mangrove",0
53,"mangrove",0
54,"mangrove",0
62,"mangrove",0
64,"mangrove",0
65,"mangrove",0
66,"mangrove",-0.000193
96,"mangrove",-0.000297
97,"mangrove",-0.002758
98,"mangrove",0
99,"mangrove",-0.001433
100,"mangrove",-0.008206
102,"mangrove",-0.007736
104,"mangrove",-0.005856
106,"mangrove",-0.011492
108,"mangrove",0
110,"mangrove",-0.002976
111,"mangrove",0
112,"mangrove",-0.012793
113,"mangrove",-0.002148
114,"mangrove",-0.001651
115,"mangrove",-0.002918
116,"mangrove",-0.001691
117,"mangrove",0
118,"mangrove",0
119,"mangrove",-0.107143
120,"mangrove",0
122,"mangrove",-0.013889
124,"mangrove",0
125,"mangrove",-0.009009
126,"mangrove",-0.011741
127,"mangrove",0
129,"mangrove",-0.002073
130,"mangrove",-0.002827
131,"mangrove",-0.006895
132,"mangrove",-0.000696
133,"mangrove",-0.01252
134,"mangrove",-0.0015
135,"mangrove",-0.005966
136,"mangrove",-0.046542
137,"mangrove",-0.000822
138,"mangrove",-0.001741
139,"mangrove",-0.002411
140,"mangrove",-0.004146
162,"mangrove",-0.004999
163,"mangrove",-0.008117
164,"mangrove",-0.005757
166,"mangrove",-0.003512
167,"mangrove",-0.001329
168,"mangrove",-0.007817
169,"mangrove",-0.004146
171,"mangrove",-0.002714
190,"mangrove",0
191,"mangrove",0
193,"mangrove",-0.000349
194,"mangrove",-0.000761
195,"mangrove",-0.013472
196,"mangrove",-0.000552
197,"mangrove",-0.003307
198,"mangrove",-0.001756
199,"mangrove",-0.006427
200,"mangrove",-0.009796
202,"mangrove",-0.002365
203,"mangrove",-0.026414
204,"mangrove",-0.000231
205,"mangrove",-0.067488
206,"mangrove",-0.028499
207,"mangrove",-0.008042
208,"mangrove",0
209,"mangrove",-0.008905
210,"mangrove",-0.001904
214,"mangrove",0
216,"mangrove",-0.01122
221,"mangrove",0
231,"mangrove",-0.008197
244,"mangrove",0
245,"mangrove",0
247,"mangrove",-0.002119
250,"mangrove",0
