"rgn_id_2013","rgn_nam_2013","value_num","year","layer","units"
82,"Albania",1618829,"1960","POP","count"
82,"Albania",1668531,"1961","POP","count"
82,"Albania",1719181,"1962","POP","count"
82,"Albania",1770530,"1963","POP","count"
82,"Albania",1822299,"1964","POP","count"
82,"Albania",1874302,"1965","POP","count"
82,"Albania",1926382,"1966","POP","count"
82,"Albania",1978582,"1967","POP","count"
82,"Albania",2031167,"1968","POP","count"
82,"Albania",2084532,"1969","POP","count"
82,"Albania",2138966,"1970","POP","count"
82,"Albania",2194588,"1971","POP","count"
82,"Albania",2251320,"1972","POP","count"
82,"Albania",2309029,"1973","POP","count"
82,"Albania",2367499,"1974","POP","count"
82,"Albania",2426592,"1975","POP","count"
82,"Albania",2486256,"1976","POP","count"
82,"Albania",2546617,"1977","POP","count"
82,"Albania",2607936,"1978","POP","count"
82,"Albania",2670572,"1979","POP","count"
82,"Albania",2734776,"1980","POP","count"
82,"Albania",2799345,"1981","POP","count"
82,"Albania",2863902,"1982","POP","count"
82,"Albania",2930351,"1983","POP","count"
82,"Albania",3001325,"1984","POP","count"
82,"Albania",3077930,"1985","POP","count"
82,"Albania",3162225,"1986","POP","count"
82,"Albania",3251512,"1987","POP","count"
82,"Albania",3336434,"1988","POP","count"
82,"Albania",3404408,"1989","POP","count"
82,"Albania",3446882,"1990","POP","count"
82,"Albania",3459763,"1991","POP","count"
82,"Albania",3446858,"1992","POP","count"
82,"Albania",3417280,"1993","POP","count"
82,"Albania",3384367,"1994","POP","count"
82,"Albania",3357858,"1995","POP","count"
82,"Albania",3341043,"1996","POP","count"
82,"Albania",3331317,"1997","POP","count"
82,"Albania",3325456,"1998","POP","count"
82,"Albania",3317941,"1999","POP","count"
82,"Albania",3304948,"2000","POP","count"
82,"Albania",3286084,"2001","POP","count"
82,"Albania",3263596,"2002","POP","count"
82,"Albania",3239385,"2003","POP","count"
82,"Albania",3216197,"2004","POP","count"
82,"Albania",3196130,"2005","POP","count"
82,"Albania",3179573,"2006","POP","count"
82,"Albania",3166222,"2007","POP","count"
82,"Albania",3156608,"2008","POP","count"
82,"Albania",3151185,"2009","POP","count"
82,"Albania",3150143,"2010","POP","count"
82,"Albania",3153883,"2011","POP","count"
82,"Albania",3162083,"2012","POP","count"
84,"Algeria",11277757,"1960","POP","count"
84,"Algeria",11560650,"1961","POP","count"
84,"Algeria",11844928,"1962","POP","count"
84,"Algeria",12136371,"1963","POP","count"
84,"Algeria",12443175,"1964","POP","count"
84,"Algeria",12771084,"1965","POP","count"
84,"Algeria",13122912,"1966","POP","count"
84,"Algeria",13496577,"1967","POP","count"
84,"Algeria",13887045,"1968","POP","count"
84,"Algeria",14286826,"1969","POP","count"
84,"Algeria",14690855,"1970","POP","count"
84,"Algeria",15098212,"1971","POP","count"
84,"Algeria",15511892,"1972","POP","count"
84,"Algeria",15935594,"1973","POP","count"
84,"Algeria",16374671,"1974","POP","count"
84,"Algeria",16833516,"1975","POP","count"
84,"Algeria",17311457,"1976","POP","count"
84,"Algeria",17808536,"1977","POP","count"
84,"Algeria",18330535,"1978","POP","count"
84,"Algeria",18884689,"1979","POP","count"
84,"Algeria",19475204,"1980","POP","count"
84,"Algeria",20103931,"1981","POP","count"
84,"Algeria",20766568,"1982","POP","count"
84,"Algeria",21453278,"1983","POP","count"
84,"Algeria",22150483,"1984","POP","count"
84,"Algeria",22847437,"1985","POP","count"
84,"Algeria",23539383,"1986","POP","count"
84,"Algeria",24225748,"1987","POP","count"
84,"Algeria",24904931,"1988","POP","count"
84,"Algeria",25576596,"1989","POP","count"
84,"Algeria",26239708,"1990","POP","count"
84,"Algeria",26893663,"1991","POP","count"
84,"Algeria",27535151,"1992","POP","count"
84,"Algeria",28157560,"1993","POP","count"
84,"Algeria",28752749,"1994","POP","count"
84,"Algeria",29315463,"1995","POP","count"
84,"Algeria",29845208,"1996","POP","count"
84,"Algeria",30345466,"1997","POP","count"
84,"Algeria",30820435,"1998","POP","count"
84,"Algeria",31276295,"1999","POP","count"
84,"Algeria",31719449,"2000","POP","count"
84,"Algeria",32150198,"2001","POP","count"
84,"Algeria",32572977,"2002","POP","count"
84,"Algeria",33003442,"2003","POP","count"
84,"Algeria",33461345,"2004","POP","count"
84,"Algeria",33960903,"2005","POP","count"
84,"Algeria",34507214,"2006","POP","count"
84,"Algeria",35097043,"2007","POP","count"
84,"Algeria",35725377,"2008","POP","count"
84,"Algeria",36383302,"2009","POP","count"
84,"Algeria",37062820,"2010","POP","count"
84,"Algeria",37762962,"2011","POP","count"
84,"Algeria",38481705,"2012","POP","count"
151,"American Samoa",20012,"1960","POP","count"
151,"American Samoa",20478,"1961","POP","count"
151,"American Samoa",21118,"1962","POP","count"
151,"American Samoa",21883,"1963","POP","count"
151,"American Samoa",22701,"1964","POP","count"
151,"American Samoa",23518,"1965","POP","count"
151,"American Samoa",24320,"1966","POP","count"
151,"American Samoa",25116,"1967","POP","count"
151,"American Samoa",25886,"1968","POP","count"
151,"American Samoa",26615,"1969","POP","count"
151,"American Samoa",27292,"1970","POP","count"
151,"American Samoa",27916,"1971","POP","count"
151,"American Samoa",28490,"1972","POP","count"
151,"American Samoa",29014,"1973","POP","count"
151,"American Samoa",29491,"1974","POP","count"
