iucn_sid,presence,origin,distribution_code,rgn_id,rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat_code
39381,Extant,Native,Native,54,United Arab Emirates,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,120,Antigua and Barbuda,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,118,Anguilla,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,82,Albania,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,200,Angola,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,172,Argentina,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,151,American Samoa,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,16,Australia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,250,Aruba,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,124,Barbados,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,204,Bangladesh,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,52,Bahrain,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,99,Benin,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,108,Bermuda,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,245,Bonaire,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,248,Saba,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,249,Sint Eustatius,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,171,Brazil,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,110,Bahamas,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,164,Belize,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,218,Canada,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,100,Republique du Congo,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,195,Ivory Coast,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,153,Cook Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,224,Chile,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,197,Cameroon,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,209,China,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,132,Colombia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,130,Costa Rica,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,56,Cape Verde,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,244,Curacao,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,46,Djibouti,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,175,Denmark,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,123,Dominica,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,115,Dominican Republic,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,84,Algeria,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,137,Ecuador,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,214,Egypt,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,63,Western Sahara,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,45,Eritrea,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,182,Spain,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,18,Fiji,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,95,Falkland Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,9,Micronesia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,198,Gabon,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,180,United Kingdom,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,125,Grenada,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,169,French Guiana,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,106,Ghana,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,65,Gambia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,194,Guinea,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,140,Guadeloupe and Martinique,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,104,Equatorial Guinea,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,80,Greece,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,89,South Georgia and the South Sandwich Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,136,Guatemala,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,13,Northern Mariana Islands and Guam,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,193,Guinea Bissau,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,167,Guyana,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,133,Honduras,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,187,Croatia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,216,Indonesia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,203,India,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,192,Iraq,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,191,Iran,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,184,Italy,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,210,Japan,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,43,Kenya,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,212,Kiribati,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,28,Comoro Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,119,Saint Kitts and Nevis,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,51,Kuwait,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,113,Cayman Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,122,Saint Lucia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,40,Sri Lanka,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,97,Liberia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,67,Libya,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,62,Morocco,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,186,Montenegro,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,221,Northern Saint-Martin,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,42,Madagascar,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,11,Marshall Islands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,205,Myanmar,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,64,Mauritania,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,121,Montserrat,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,37,Mauritius,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,39,Maldives,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,135,Mexico,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,206,Malaysia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,41,Mozambique,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,101,Namibia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,5,New Caledonia,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,196,Nigeria,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,131,Nicaragua,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,177,Netherlands,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
39381,Extant,Native,Native,223,Norway,Blue Shark,Prionace glauca,TRUE,NA,NA,NT
